? s?,Tàn c?i,Sort desc,Image,Desc,S? ngÖy ? ?Éy,K?t qu? x£c s?c 1,K?t qu? x£c s?c 2,K?t qu? x£c s?c 3,K?t qu? x£c s?c 4,K?t qu? x£c s?c 5,K?t qu? x£c s?c 6
26,"Chuy?n LuÉn Th†nh V??ng
","B?c ?? V??ng L? T??ng 
c?a Ph?t Gi†o",Realm_02.jpg,"??c ?i?m c?a V? Vua V? Tr?
Th?ng nh?t th? gi?i b?ng Ch†nh Ph†p: Cai tr? toÖn b? 4 chÉu l?c (ho?c °t h?n tóy nghi?p l?c) v?i b†nh xe quy?n l?c (t??ng tr?ng cho ??o ??c vÖ s?c m?nh):
VÖng: Cai qu?n 4 chÉu ? Vua t? nguy?n quy ph?c.
B?c: Cai qu?n 3 chÉu ? Vua ?i chinh ph?c b?ng uy ??c.
??ng: Cai qu?n 2 chÉu ? Chu?n b? chi?n tranh nh?ng khìng gÉy h?i.
S?t: Cai qu?n 1 chÉu ? Dóng v? l?c nh?ng khìng gi?t h?i.

ThÉn t??ng viàn m?n:
Sinh ra v?i 32 t??ng t?t (g?n gi?ng Ph?t), c¢ thiàn nh?n (th?y ki?p tr??c sau).
Khìng th? b? gi?t b?i b?t k? ai, k? c? t? s†t.
Ngu?n G?c Cìng ??c
T°ch l?y t? ki?p tr??c:
B? th°, t†n th†n ng??i kh†c, vÖ khìng sÉn h?n.
Nh?p thai v?i ? th?c ??y ?? (nh? B? T†t gi†ng tr?n).
So s†nh l?ch s?:
Vua A D?c (Asoka) c?a ?n ?? (th? k? 3 TCN) lÖ hçnh ?nh g?n nh?t ? cai tr? b?ng Ph?t Ph†p sau khi gi†c ng?.
Tri?t L? ??ng Sau
Ch°nh tr? l? t??ng:
Xu?t hi?n sau th?i k? hoÖng kim (con ng??i s?ng khìng c?n ch°nh quy?n), t??ng ??ng v?i ""C?ng Hïa"" c?a Plato ? vua lÖ tri?t gia ??c h?nh.
Kh†c bi?t then ch?t: Quy?n l?c d?a tràn nghi?p thi?n, khìng ph?i b?o l?c.
BÖi h?c cho hi?n ??i:
L?nh ??o ph?i lÖ ng??i tu t?p ? A D?c t? ""b?o ch£a"" thÖnh ""Ph†p V??ng"" nh? ?n n?n sau chi?n tranh.
""V??ng quy?n r?c r? nh? m?t tr?i ?
Nh?ng khìng cìng ??c, ch? lÖ b¢ng t?i tho†ng qua.""",3,29,28,17,20,13,13
27,"C?i T? ??i Thiàn V??ng
","V??ng Qu?c c?a H? Ph†p
",Realm_01.jpg,"??c ?i?m C?i Tr?i
V? tr°: Cai qu?n s??n th?p n£i Tu-di (Meru), 7 d?y n£i vÖng bao quanh, cóng b?u tr?i ph°a d??i c?i tr?i ?ao L?i.
Nhi?m v?:
B?o v? Ph?t Ph†p: Bi?n t? H? Th? (loka-pala) thÖnh H? Ph†p (dharma-pala), th??ng th?y ? c?ng chóa.
?i?u ph?i th? gi?i: Qu?n l? tinh t£, thiàn nhiàn (th?n cÉy, n£i, sìng...).
Ng?n ch?n A-tu-la t?n cìng c?i tr?i cao h?n.
T? ??i Thiàn V??ng
M?i v? tr?n gi? m?t ph??ng, th?ng l?nh c†c ch£ng sinh siàu nhiàn:
?ìng: Trç Qu?c Thiàn V??ng (Dh?tar???ra) ? Ch£a t? CÖn-th†t-bÖ (Gandharva, nh?c th?n).
Nam: T?ng Tr??ng Thiàn V??ng (Vir??haka) ? Ch£a t? C?u-bÖn-trÖ (Kumbh???a, qu? m?p).
TÉy: Qu?ng M?c Thiàn V??ng (Vir?p?k?a) ? Ch£a t? Long t?c (N?ga).
B?c: ?a V?n Thiàn V??ng (Vai?rava?a/Kuvera) ? Ch£a t? D?-xoa (Yak?a) vÖ th?n tÖi, tay c?m b?o th? (ch?n nh? ng?c).
??i S?ng ? C?i NÖy
Sinh s?n th?n k?
Apsara (tiàn n?) sinh con khìng qua thai nghÇn ? ??a tr? hi?n ra tràn ?ói m? l£c 5 tu?i, nh?n th?c ngay cha m?.
Khìng d°nh m?c d?c t°nh: Giao h?p khìng m?t n?ng l??ng, khìng ì u?.
Ph£c b†o: Do khìng tham ??m h?nh ph£c °ch k?, nh?ng c?ng khìng tu t?p gi?i tho†t.
BÖi H?c T? C?i H? Ph†p
H? trç th? gian ? Gi?i tho†t:
Dó c¢ quy?n n?ng, ch? thiàn v?n trong luÉn h?i vç h??ng ph£c qu† kh?, khìng tinh t?n tu t?p.
Con ng??i may m?n h?n ch? thiàn:
C?i ng??i (Nam Thi?m B? ChÉu) dó kh? nh?ng d? gi†c ng? nh? ngh?ch c?nh.
""LÖm th?n c?ng ch? lÖ t?m b? ?
Khìng tu, ph£c h?t v?n sa ??a!""",6,28,17,23,18,10,6
28,"C?i Tr?i ?ao L?i 
","Thiàn ?çnh Ph?t Gi†o
",Realm_02.jpg,"V??ng Qu?c Tràn ??nh Tu-di
V? tr°: T?a l?c t?i ??nh n£i Tu-di (Meru), g?m 33 tïa thiàn cung - t??ng ?ng 33 v? tr?i cai qu?n.
Ki?n tr£c k? v?:
ThÖnh Sudarsana (""Thi?n Ki?n"") - kinh ?ì c?a Thiàn ?? Indra, lÖm b?ng ng?c b†u.
4 cìng viàn th?n tiàn v?i h? n??c ma thu?t, ??t m?m nh? nhung.
CÉy Parijataka t?a h??ng ng??c gi¢, b¢ng m†t lÖ n?i vui ch?i c?a ch? thiàn.
??i S?ng Ch? Thiàn
Hçnh t??ng: ThÉn th? to l?n, gi†c quan siàu phÖm.
Sinh ho?t:
Giao h?p b?ng c†ch ch?m b? ph?n sinh d?c, khìng xu?t tinh.
Th? h??ng Ém nh?c, tçnh †i d??i b¢ng cÉy th?n.
V?n ph?i chi?n ??u ??nh k? ch?ng l?i A-tu-la.
??c ?i?m tÉm linh:
Dó quy y Ph?t nh?ng mà ??m d?c l?c, khìng tu t?p.
Indra (Thiàn ??) t? th?n chi?n tranh Vedic tr? thÖnh h? ph†p.
D?u Hi?u Suy TÖn
Khi ph??c s?p h?t, ch? thiàn xu?t hi?n 5 ?i?m b†o:
Y ph?c d°nh b?n
Vïng hoa £a tÖn
N†ch ?? m? hìi
C? th? b?c mói
Ch? ng?i kh¢ ch?u
""Kh? nÖo b?ng n?i kh? c?a v? tr?i th?y r? mçnh s?p ??a l?c!""
BÖi H?c NhÉn Sinh
H??ng ph??c c?ng lÖ kh?:
C?i tr?i dó sung s??ng nh?ng khi ph??c h?t, n?i kh? th?y tr??c t??ng lai cïn ghà g?m h?n c?i ng??i.
Con ng??i c¢ l?i th? tu t?p:

Ch°nh nh? bi?t kh? mÖ con ng??i d? ph†t tÉm c?u gi?i tho†t h?n ch? thiàn.

Indra - hçnh ?nh c?nh t?nh:

Phïng tranh l?u gi? hçnh ?nh c†c v? vua tr?i ?? sa ??a lÖ l?i nh?c: Khìng c¢ h?nh ph£c nÖo v?nh c?u trong luÉn h?i.",7,29,17,20,22,11,7
29,"C?i Tr?i D? Ma
","Thiàn ?Öng Vì Chi?n
",Realm_01.jpg,"??c ?i?m C?i Tr?i
V? tr°: L? l?ng nh? mÉy, cao g?p ?ìi ??nh Tu-di, hoÖn toÖn t†ch bi?t kh?i xung ??t th? gian.
Ph£c b†o:
H??ng th? c?c l?c d?c gi?i (v??n h? sen, thiàn nga, Én †i ch? c?n ìm nhau).
S? h?u nh? ? b?o chÉu ? hi?n th?c h¢a m?i ??c mu?n.
Nguyàn nhÉn t†i sinh: Do tu t?p nh?n nh?c, tr†nh xung ??t ? ki?p tr??c.
??i S?ng Vi Di?u
B? T†t Thiàn Nga (Suyama):
S?ng trong ?¢a sen kh?ng l?, c?nh t?nh ch? thiàn ??ng mà ??m d?c l?c.
Cu?c chi?n tÉm linh
Ma v??ng (Mara) ph†i 3 s? gi? (Kho†i L?c, PhÉn TÉm, Mà Ho?c) ??n qu?y nhi?u, nh?ng b? ch? thiàn dóng Ch†nh Ph†p ??y lói.
BÖi H?c T? C?i Vì Chi?n
H?nh ph£c v?n lÖ l?ng son:
Dó khìng tranh ??u, ch? thiàn ? ?Éy v?n tr¢i bu?c b?i d?c l?c, khi ph??c h?t v?n ??a l?c.
B? T†t ?n mçnh trong sen:
Hçnh ?nh Suyama nh?c nh?: Gi?a d?c gi?i v?n c¢ th? tu t?p, n?u bi?t ""? trong ??i mÖ khìng nhi?m ??i"".
""?m ?p d?c l?c c?ng nh? ìm mÉy ?
MÉy tan, tay khìng, ch? cïn nghi?p c?.""",8,30,31,17,23,12,10
30,"C?i Tr?i ?Éu Su?t (Tusita)
","Ch?n An L?c c?a B? T†t
",Realm_02.jpg,"??c ?i?m C?i Tr?i
V? tr°: T?ng tr?i th? t? trong D?c Gi?i Thiàn, nh?ng lÖ n?i ??c bi?t nh?t ? ch?n ngh? chÉn cu?i cóng c?a B? T†t tr??c khi t†i sinh thÖnh Ph?t.
C?nh quan:
Cung ?i?n ng?c l? l?ng nh? mÉy, ??t l†t chÉu b†u.
Hoa tr?ng tinh khi?t, ch? thiàn u?ng cam l? (am?ta).
?n †i ch? c?n n?m tay (nh? nhÖng h?n c†c c?i tr?i d?c gi?i kh†c).
B? T†t Di L?c & C†c B?c Th†nh
Di L?c (Maitreya): V? Ph?t t??ng lai hi?n ?ang thuy?t ph†p t?i ?Éy, ???c g?i lÖ ""Thiàn Ch? C?u ??"" (n?tha-deva).
Th†nh T?ng Asanga: T? s? Duy Th?c Tìng t?ng làn c?i nÖy th?nh gi†o Di L?c, mang v? 5 b? lu?n Duy Th?c.
""B?c tr° gi? ham h?c,
Ng??i truy?n b† Ch†nh Ph†p,
K? c?u tho†t luÉn h?i ?
??u t†i sinh ?Éu Su?t.""
? Ngh?a SÉu Xa
C?i ""chuy?n ti?p"" quan tr?ng:
LÖ bÖn ??p cu?i cóng ?? B? T†t gi†ng tr?n thÖnh Ph?t (nh? Th°ch Ca t?ng ? ?Éy tr??c sinh vÖo cung vua T?nh Ph?n).
Ph£c tr° song tu:
Dó lÖ thiàn gi?i d?c l?c, nh?ng nh? nghe Di L?c thuy?t ph†p, ch? thiàn ? ?Éy d? ph†t B? ?? tÉm h?n c†c c?i tr?i kh†c.
""Sen n? ?Éu Su?t ??i ngÖy h? sanh ?
M?t ki?p lÖm ng??i, muìn ??i gi†c ng?.""",9,64,63,55,54,53,52
31,C?i Tr?i H¢a L?c,"Thiàn Gi?i c?a T? T?i Bi?n H¢a
",Realm_01.jpg,"??c ?i?m C?i Tr?i
V? tr°: L? l?ng tràn ??nh Tu-di, thu?c t?ng tr?i D?c Gi?i cao c?p, n?i ch? thiàn h??ng l?c t? tÉm th?c.

Th?n thìng ??c bi?t:

??c ni?m thÖnh hi?n th?c: Khìng c?n ??i t??ng v?t ch?t, ch? c?n ngh? ??n lÖ hi?n ra.

?n †i vi di?u: Ch? c?n c??i n¢i, ng?i h??ng l?n nhau lÖ th?a m?n.

C?nh quan:

Cung ?i?n t?a †nh vÖng r?c, v??n cÉy b?o chÉu, hoa th?m ngÖo ng?t.

?m thanh nh?c tr?i, m£a thiàng vang v?ng kh?p n?i.

NhÉn Duyàn T†i Sinh
Tu t?p ??i tr??c:

Gi? gi?i tinh nghiàm (??o ??c cao).

B? th° c?c k? r?ng l?n (vì ?i?u ki?n).

T? l?c tu hÖnh v?i ? ch° m?nh m?.

""Ai s?ng ??i thanh cao,
Gi? gi?i h?nh tinh khi?t,
R?ng lïng th° vì £y ?
?t sinh c?i H¢a L?c.""
BÖi H?c TÉm Linh
H?nh ph£c vi t? h?n, nh?ng v?n lÖ luÉn h?i:

Dó khìng b†m vÖo v?t ch?t, ch? thiàn v?n tr¢i bu?c b?i ni?m l?c t? tÉm th?c.

B??c ??m quan tr?ng:

C?i nÖy d? chuy?n h??ng sang ??i Th?a ho?c Duyàn Gi†c, nh? ?? thu?n th?c t? ch? tÉm ?.

""Bi?n h¢a ra thiàn ???ng ?
C?ng ch? lÖ ?o ?nh c?a tÉm th?c.
Buìng c? ??c ni?m, m?i th?t gi?i tho†t!""",10,52,30,43,32,22,12
32,"C?i Tr?i Tha H¢a T? T?i 
","??nh Cao D?c Gi?i
",Realm_02.jpg,"??c ?i?m C?i Tr?i
V? tr°: T?ng tr?i cao nh?t D?c Gi?i, n?i ch? thiàn th?ng tr? c†c h¢a hi?n c?a ch£ng sinh kh†c.
Quy?n n?ng ??c bi?t:
Khìng c?n t? t?o ??i t??ng h??ng th? (nh? c?i H¢a L?c).
Thiàn ch£ng kh†c t? ??ng h¢a hi?n theo ? mu?n c?a h? (nh? ??u b?p n?u m¢n ch? th°ch).
?n †i b?ng †nh m?t ? ch? c?n nhçn lÖ th?a m?n.
Vua c?i tr?i: Ma V??ng (Mara) ? ch£a t? D?c Gi?i, luìn tçm c†ch ng?n c?n tu s? ??t gi?i tho†t.
NhÉn Duyàn T†i Sinh
Tu t?p ??i tr??c:
B? th° vì l??ng (c?c k? r?ng l?n).
T? ch? tuy?t ??i (gi?i lu?t nghiàm m?t).
Kh?ng ch? d?c v?ng (khìng b? c?nh tr?n chi ph?i).
""B?c th??ng c?n vi di?u,
??c h?nh v??t ch£ng sinh,
Buìng b? m?i ch?p tr??c ?
Sinh v? c?i Tha H¢a.""
BÖi H?c TÉm Linh
D?c Gi?i vi t? nh?t:
Dó ? ??nh cao D?c Gi?i, v?n b? Ma V??ng ki?m so†t ? ch? khi vÖo S?c Gi?i m?i tho†t t?m ?nh h??ng c?a Mara.
Con ???ng nguy hi?m:
Tu s? mu?n làn S?c Gi?i ph?i ??i m?t v?i ma quÉn (kho†i l?c, s? h?i, phÉn tÉm).
""Ma V??ng c?ng lÖ th?y ?
Nh? ma th? th†ch, m?i bi?t ??o l?c mçnh!""",11,30,35,28,18,10,4
33,"M?t Th?a - Ti?u T°ch L?y 
","Giai ?o?n Kh?i ??u C?a 
HÖnh Gi? M?t Tìng",Realm_01.jpg,"B?n Ch?t C?a Nghi Qu? HÖnh Trç
Thu?c HÖnh T†c Tantra (Kriya Tantra): Giai ?o?n ??u c?a M?t th?a, t?p trung vÖo thanh t?nh h¢a n?i ngo?i gi?i thìng qua:
ThÉn: Qu†n t??ng b?n thÉn lÖ h¢a thÉn c?a B?n tìn (ch?a ph?i ""t? nh?n mçnh lÖ B?n tìn"").
Kh?u: Trç t?ng th?n ch£ (mantra) c?a B?n tìn.
?: Chuy?n h¢a c?nh gi?i xung quanh thÖnh T?nh ?? c?a B?n tìn.
M?c ?°ch t?i th??ng: Th?u hi?u t†nh Khìng c?a v?n ph†p, nh?ng giai ?o?n nÖy m?i d?ng ? t°ch l?y cìng ??c qua nghi l? bàn ngoÖi.
Nguy Hi?m Ti?m ?n
L?m d?ng th?n thìng:
N?u tu t?p khìng ph†t B? ?? tÉm, ch? c?u phÇp thu?t (hÖng ph?c, tri?u tÖi...), s? c?ng c? b?n ng?, d?n ??n:
R?i vÖo c?i Rudra (s? 16 ? hi?n thÉn c?a sÉn h?n c?c ??).
??a Kim Cang ??a Ng?c (s? 1 ? kh? ?au t?t cóng do ph† h?y M?t gi?i).
Gi?i lu?t nghiàm ng?t:
Ph?i gi? 14 gi?i c?n b?n M?t th?a, n?u khìng s? b? ""Kim Cang h?a thiàu"" (h?u qu? nghi?p n?ng).
""TÉm cïn v?ng ni?m lan man,
??ng v?i t? nh?n gi? trïn M?t gi?i ?
K?o sa vÖo ??a ng?c s?m ch?p,
H?i h?n nghçn thu c?ng khìng k?p!""
L?i Khuyàn Cho HÖnh Gi?
Khìng ???c t†ch r?i B? ?? tÉm:
Dó tu ph†p hÖnh trç bàn ngoÖi (c£ng d??ng, t?ng ch£), ph?i luìn h?i h??ng vç l?i °ch ch£ng sinh.
Th?y (Guru) lÖ then ch?t:
Ph?i ???c kh?u truy?n nghi qu? t? b?c ??o s? ?? ph?m t°nh, n?u khìng d? l?c vÖo tÖ ??o.",3,41,42,42,42,16,1
34,"Mahakala ? ??i H?c Th?n
","H? Ph†p T?i Th??ng 
c?a M?t Tìng",Realm_02.jpg,"B?n Ch?t C?a Mahakala
""??i H?c"" (Great Black One): Bi?u t??ng n?ng l??ng ph?n n? ???c chuy?n h¢a thÖnh l?c l??ng h? trç Ch†nh Ph†p.

ThÉn ph?n:

LÖ h? ph†p siàu th? gian (khìng b? Çp bu?c, mÖ t? nguy?n ph†t nguy?n).

C¢ th? lÖ h¢a thÉn c?a Yama (Diàm V??ng) ho?c Rudra-Shiva sau khi quy y Ph?t gi†o.

Hçnh t??ng:

3 m?t (bi?u th? tr° tu? th?u tam gi?i).

M?c da voi, ?eo vïng ??u lÉu t??i, chÉn ??p làn ch??ng ng?i.

Tay c?m chÖy kim cang, b†t s? ng??i, tam xoa.

N?ng L?c vÖ Nghi Qu?
B?o v? hÖnh gi?:

Tiàu di?t ma ch??ng, k? thó bàn ngoÖi (ph† ho?i Ph?t Ph†p) l?n bàn trong (tham sÉn si).

Trong m£a thiàng (cham), NgÖi ""gi?i tho†t"" (hÖnh quy?t) linh h?n †c ma.

75 H¢a ThÉn: M?i tìng ph†i TÉy T?ng c¢ c†ch mì t? kh†c nhau (v° d?: Panjaranatha, Bernakchen, Chaturmukha?).
BÖi H?c T? Mahakala
Ph?n n? c?ng lÖ t? bi:

S? hung n? c?a NgÖi khìng ph?i sÉn h?n, mÖ lÖ tr° tu? ph† ch?p d??i hçnh t??ng ?†ng s?.

Chuy?n h¢a b¢ng t?i thÖnh †nh s†ng:

CÉu chuy?n Rudra-Shiva thÖnh Mahakala cho th?y: Khìng c¢ n?ng l??ng nÖo khìng th? gi†c ng?.

""Uy l?c ??i hóng c?ng t? tÉm B? ?? ?
D?a ma ch? khìng d?a ng??i c?u gi?i tho†t.""",3,61,81,70,70,70,70
35,C?i tr?i S?c Gi?i,"C?i Tr?i c?a Thi?n ??nh
",Realm_01.jpg,"??c ?i?m C?i S?c Gi?i
V? tr°: V??t làn tràn D?c Gi?i, g?m 17 t?ng tr?i t??ng ?ng v?i 4 b?c thi?n (dhy?na).

ThÉn th?: Vi t?, trong su?t, khìng cïn kh? ?au th? x†c hay tinh th?n.

Nguyàn nhÉn t†i sinh: Tu t?p thi?n ??nh (samatha), ?o?n tr? d?c v?ng nh?ng ch?a ??t tr° tu? gi?i tho†t.

4 T?ng Thi?n & C†c C?i T??ng ?ng
S? Thi?n (Brahma realms):

G?m 3 c?i: Ph?m Ch£ng Thiàn, Ph?m Ph? Thiàn, ??i Ph?m Thiàn.

T?p trung vÖo m?t ??i t??ng thi?n, nh?ng v?n quan ni?m Ph?m Thiàn lÖ ??ng s†ng t?o (tÖ ki?n).

Nh? Thi?n (?bh?svara - Quang ?m Thiàn):

3 c?i tr?i †nh s†ng, h? l?c ph†t sinh t? ??nh.

Khìng cïn kho†i l?c thì thi?n c?a D?c Gi?i.

Tam Thi?n (?ubhak?tsna - Bi?n T?nh Thiàn):

3 c?i tr?i thanh t?nh, tr?i nghi?m x? ni?m thanh t?nh.

C?m th? h? l?c vi t?.

T? Thi?n:

G?m nhi?u c?i, trong ?¢ c¢:

Vì VÉn Thiàn (Aniv?ta): Khìng cïn ch??ng ng?i.

Ph??c Sanh Thiàn (Pu?yaprasava): Ph??c b†o ??a làn.

Qu?ng Qu? Thiàn (B?hatphala): ??nh l?c cao nh?t.

??nh cao lÖ Vì T??ng Thiàn (Asa?j§i-sattva):

T??ng nh? Ni?t BÖn, nh?ng th?c ch?t ch? lÖ tr?ng th†i vì t??ng ? khi nghi?p c? d?y làn, v?n ??a xu?ng D?c Gi?i.
BÖi H?c T? S?c Gi?i
Thi?n ??nh ? Gi?i tho†t:

Dó ??t ??nh cao, n?u khìng c¢ tr° tu? v? Kh? - T?p - Di?t - ??o, v?n khìng tho†t luÉn h?i.

Nguy hi?m c?a Vì T??ng:

T??ng lÖ Ni?t BÖn, nh?ng th?c ra ch? lÖ tr?ng th†i tÉm t?m d?ng, nh? n??c l?ng s¢ng v?n cïn ?†y.

""??nh l?c dó cao nh? n£i,
Khìng tu? quang c?ng ch? lÖ b¢ng t?i mành mìng.""",10,37,52,36,30,17,27
36,C?i tr?i Vì S?c Gi?i,C?i Tr?i c?a TÉm Th?c Thu?n T£y,Realm_02.jpg,"??c ?i?m C?i Vì S?c Gi?i
V??t tràn v?t ch?t: Khìng c¢ hçnh t??ng, khìng gian, ch? t?n t?i tÉm th?c tinh khi?t.

4 T?ng Thi?n Vì S?c: ??t ???c nh? 4 ""??ng Trç"" (sam?patti) trong thi?n ??nh:

Khìng Vì Biàn X?: ""Khìng gian lÖ vì h?n"" ? V??t kh†i ni?m v?t ch?t.

Th?c Vì Biàn X?: ""? th?c lÖ vì h?n"" ? V??t c? khìng gian.

Vì S? H?u X?: ""Khìng c¢ gç c?"" ? V??t c? ? th?c.

Phi T??ng Phi Phi T??ng X?: ""Khìng t??ng, khìng ph?i khìng t??ng"" ? ??nh cao c?a luÉn h?i.

""??nh T?n T?i"" (Peak of Existence):

T??ng nh? Ni?t BÖn, nh?ng th?c ch?t ch? lÖ tr?ng th†i tÉm t?m l?ng.

Khi nghi?p c? kh?i làn, v?n ??a vÖo c?i th?p.
BÖi H?c T? Vì S?c Gi?i
??nh cao v?n lÖ luÉn h?i:

Dó ??t c?nh gi?i vi t? nh?t, n?u khìng th?u t†nh Khìng, v?n b? tr¢i bu?c b?i ""†i h?u"" (tham luy?n s? t?n t?i).

Nguy hi?m c?a ""t?ch t?nh gi? t?o"":

Thi?n gi? d? l?m tr?ng th†i vì t??ng lÖ Ni?t BÖn, nh?ng th?c ch?t ch? lÖ s? ?¢ng b?ng c?a tÉm th?c.

""V?ng t??ng d?ng b?t ch?a ph?i gi†c ng? ?
Nh? m?t h? ?¢ng b?ng, ?†y n??c v?n cu?ng si.""",30,38,17,11,11,11,4
37,"T?nh C? Thiàn
","C?i Tr?i Thanh T?nh 
& ??nh Cao S?c Gi?i",Realm_01.jpg,"??c ?i?m C?nh Gi?i
Tu ch?ng: ??t ???c nh? cìng phu thi?n ??nh t? thi?n sÉu nh?t, t?p trung nh?t.
N?m t?ng tr?i t??ng ?ng v?i ng? c?n (t°n, t?n, ni?m, ??nh, tu?), n?i b?ng b?nh tràn ??nh Tu-di s?n:
T?i th?ng thiàn (Akani??ha): Nh?n m?nh tu? qu†n (vipa?yan?), g?n v?i b?n ch?t gi†c ng? (x?p riàng ? No. 84).
??c t°nh ch? thiàn:
""??c h?nh, th?n thìng, th? m?ng dÖi, dung m?o tuy?t m?, t? t?i phi hÖnh, khìng cïn tham d?c... Ch? b?c Th†nh (arya) chuyàn tÉm tu t?p m?i ??t ??n, khìng dÖnh cho phÖm phu (p?thagjana).""
2. Ph??ng Ph†p Tu T?p
T? thi?n + Ng? c?n viàn m?n:
T°n (v?ng ch?c) ? T?n (tinh t?n) ? Ni?m (t?nh gi†c) ? ??nh (an tr£) ? Tu? (th?u su?t).
Tr?ng tÉm t?i Akani??ha:
""Qu†n chi?u t†nh Khìng, thÉn-c?nh nh?t nh?, †nh s†ng tr° tu? xuyàn ph† vì minh.""
BÖi H?c Tr?ng Y?u
""Thanh t?nh khìng ph?i c?nh gi?i, mÖ lÖ tÉm khìng nhi?m tr??c"":
Dó h??ng ph??c b†o c?i tr?i, b?c Th†nh v?n h??ng v? gi?i tho†t.

Akani??ha lÖ c?u n?i:
""T? thi?n ??nh s?c gi?i v??n ??n tr° tu? vì s?c ? ch? m?t ni?m chuy?n mçnh lÖ vÖo c?i Ph?t.""",10,64,54,32,52,12,12
38,"Thanh V?n Th?a
"," T°ch L?y ??o
",Realm_02.jpg,"Kh?i ??u Con Gi?i Tho†t
??ng l?c: Ch†n ng†n sinh t?, ph†t tÉm c?u gi?i tho†t kh?i luÉn h?i.

??i t??ng: DÖnh cho ng??i xu?t gia ho?c t?i gia, t?p trung vÖo gi?i - ??nh - tu? c?n b?n.

Ph??ng ph†p tu t?p:

Qu†n b?t t?nh (??i tr? tham d?c).

Qu†n 12 nhÉn duyàn (??i tr? vì minh).

Tu tÉm t? (??i tr? sÉn h?n).

Qu†n h?i th? (??i tr? t†n lo?n).

Qu†n t??ng Ph?t (??i tr? t?t c? phi?n n?o).

4 TÖ Ki?n C?n Ph† B?
Ch?p th??ng trong c†i vì th??ng.

Ch?p l?c trong c†i kh?.

Ch?p ng? trong c†i vì ng?.

Ch?p t?nh trong c†i b?t t?nh.

""Th?y r? sinh t? lÖ b? kh?,
D?t tr? tÖ ki?n m?i vÖo dïng Th†nh.""
BÖi H?c T? Thanh V?n Th?a
T°ch l?y cìng ??c lÖ n?n t?ng:

Dó tu gi?i tho†t, v?n c?n b? th°, trç gi?i, l? b†i ?? cÉn b?ng nghi?p l?c.

Gi?i h?n c?a Thanh V?n:

M?c tiàu ban ??u ch? lÖ t? ??, nh?ng c¢ th? chuy?n h??ng sang ??i Th?a n?u ph†t tÉm r?ng l?n.",3,37,40,39,52,11,5
39,"Thanh V?n Th?a
",Gia H?nh V?,Realm_01.jpg,"Giai ?o?n Chu?n B? ??t Ph†
V? tr°: Giai ?o?n chu?n b? ch?ng ki?n T? Di?u ?? (tr??c khi vÖo Ki?n ??o v?).

??c ?i?m:

K?t h?p Ch? (samatha - ??nh t?nh) vÖ Qu†n (vipassan? - tu? gi†c).

??i t??ng thi?n: Vì th??ng, Kh?, Vì ng? c?a ng? u?n.

??t 5 lo?i th?n thìng th? gian (abhij§?):

Th?n t£c thìng (bay, ?i tràn n??c...).

Thiàn nh? thìng.

Tha tÉm thìng.

T£c m?ng thìng (nh? ki?p tr??c).

Thiàn nh?n thìng (th?y ki?p ng??i kh†c).

L?u ?: Ch?a ??t L?u t?n thìng (th? 6, ch? c¢ ? A-la-h†n).
C?nh Gi?i C¢ Th? ??t ???c
Xu?t th? gian ??o: N?u thÖnh cìng, s? vÖo Ki?n ??o v? (th?y r? T? ??).

Th? gian ??o: N?u d?ng l?i, c¢ th? ??t c?i tr?i ho?c th?n thìng, nh?ng v?n trong luÉn h?i.

""Th?n thìng dó l?, v?n lÖ nghi?p c? ?
L?u t?n m?i th?t lÖ b? gi?i tho†t!""",3,52,43,40,52,28,19
40,"Thanh V?n Th?a
","Ki?n ??o & Tu ??o V?
",Realm_02.jpg,"Ki?n ??o V? (Dar?ana-m?rga)
??t ph† tÉm linh: L?n ??u tiàn tr?c nh?n T? Di?u ?? nh? th?t:

Kh? ??: LuÉn h?i lÖ b? kh?.

T?p ??: Tham †i lÖ g?c kh?.

Di?t ??: Di?t †i = Di?t kh?.

??o ??: B†t Ch†nh ??o lÖ con ???ng.

?o?n tr?:

ThÉn ki?n (ch?p ""ta"").

Nghi (hoÖi nghi Ph†p).

Gi?i c?m th? (mà t°n nghi l?).

Qu? v?: Ch?ng S? qu? (D? L?u) ? t?i ?a 7 ki?p n?a gi?i tho†t.

Tu ??o V? (Bh?van?-m?rga)
Cìng phu sÉu: Tiàu tr? vi t? phi?n n?o cïn s¢t:

D?c †i (ham mu?n vi t?).

SÉn.

Vì minh tÖn d?.

ThÖnh t?u:

Kim Cang ??nh (Vajropama-sam?dhi): ??nh l?c kiàn c? nh? kim c??ng, ph† tan m?i l?u ho?c.

Viàn m?n B†t Ch†nh ??o.

Qu? v? cu?i: A-la-h†n (l?u t?n, gi?i tho†t).
BÖi H?c Tr?ng Y?u
Ki?n ??o ? Tu ??o:

Ki?n ??o nh? nhçn th?y ??nh n£i, Tu ??o lÖ leo làn ??nh.

A-la-h†n khìng ph?i ""c?u c†nh"":

Theo ??i Th?a, A-la-h†n c¢ th? h?i tÉm h??ng B? ?? ?? thÖnh B? T†t.

""Th?y Kh? r?i m?i d?t ?i,
Tu? gi†c sinh thç phi?n n?o r?ng!""",3,30,35,28,32,31,29
